STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
17,027,900601,2466,+38.545561,-089.515850
17,027,900602,6787,+38.535211,-089.662851
17,029,000100,2999,+39.614894,-088.137376
17,029,000200,6123,+39.470175,-088.366989
17,029,000300,4656,+39.487274,-088.392083
17,029,000400,2870,+39.488709,-088.353538
17,029,000500,6239,+39.495355,-088.181739
17,029,000600,3664,+39.466863,-088.118625
17,029,000700,6894,+39.485751,-088.170208
17,029,000800,5675,+39.477146,-088.173808
17,029,000900,4255,+39.473015,-088.183092
17,029,001000,3353,+39.473651,-088.355534
17,029,001100,3685,+39.472325,-088.370988
17,029,001200,3460,+39.479437,-088.389476
17,031,010100,4854,+42.021200,-087.669534
17,031,010201,6450,+42.015972,-087.680738
17,031,010202,2818,+42.015540,-087.672469
17,031,010300,6236,+42.016013,-087.666414
17,031,010400,5042,+42.004091,-087.659582
17,031,010501,4091,+42.009869,-087.664054
17,031,010502,3101,+42.004788,-087.663021
17,031,010503,2290,+41.999926,-087.662847
17,031,010600,6097,+42.005687,-087.667654
17,031,010701,3864,+42.009167,-087.679164
17,031,010702,5143,+42.008846,-087.672172
17,031,020100,3965,+42.015484,-087.687209
17,031,020200,6676,+42.015820,-087.699421
17,031,020301,4750,+42.007294,-087.705469
17,031,020302,4650,+42.009212,-087.695062
17,031,020400,4168,+42.007998,-087.685571
17,031,020500,6214,+41.999848,-087.682765
17,031,020601,6353,+42.000352,-087.701855
17,031,020602,4340,+42.001152,-087.693658
17,031,020701,1704,+41.986065,-087.703552
17,031,020702,7194,+41.994426,-087.703909
17,031,020801,5458,+41.986738,-087.693910
17,031,020802,6963,+41.994394,-087.695073
17,031,020901,5221,+41.994895,-087.686077
17,031,020902,4286,+41.993346,-087.678649
17,031,030101,3893,+41.991376,-087.656454
17,031,030102,3204,+41.993529,-087.656605
17,031,030103,1928,+41.995104,-087.657267
17,031,030104,3681,+41.996993,-087.657229
17,031,030200,5369,+41.994744,-087.664885
17,031,030300,3322,+41.994310,-087.672822
17,031,030400,2684,+41.986918,-087.672024
17,031,030500,6395,+41.987006,-087.664966
17,031,030601,4012,+41.988435,-087.656375
17,031,030603,2095,+41.985604,-087.657757
17,031,030604,2976,+41.985458,-087.654869
17,031,030701,1549,+41.982755,-087.657284
17,031,030702,1630,+41.980764,-087.654822
17,031,030703,2830,+41.978760,-087.656970
17,031,030706,3599,+41.980477,-087.655432
17,031,030800,4326,+41.979912,-087.664653
17,031,030900,3028,+41.979646,-087.671849
17,031,031000,3656,+41.972529,-087.671140
17,031,031100,4402,+41.973562,-087.663776
17,031,031200,5648,+41.972265,-087.656692
17,031,031300,7076,+41.972839,-087.652825
17,031,031400,5150,+41.958923,-087.648061
17,031,031501,4083,+41.967335,-087.652621
17,031,031502,4354,+41.963977,-087.652057
17,031,031700,6570,+41.965658,-087.662927
17,031,031800,1820,+41.966811,-087.670599
17,031,031900,2304,+41.963354,-087.669679
17,031,032100,7052,+41.958332,-087.653027
17,031,040100,3985,+41.977806,-087.681170
17,031,040201,6218,+41.972449,-087.694121
17,031,040202,7249,+41.979737,-087.694067
17,031,040300,3069,+41.976993,-087.701271
17,031,040401,3092,+41.972270,-087.685930
17,031,040402,4468,+41.971954,-087.678145
17,031,040600,2434,+41.966684,-087.683992
17,031,040700,3123,+41.966892,-087.693761
17,031,040800,1514,+41.963063,-087.692182
17,031,040900,1950,+41.963479,-087.683000
17,031,050100,2290,+41.957861,-087.676998
17,031,050200,4837,+41.957683,-087.683673
17,031,050300,2365,+41.957697,-087.691169
17,031,050500,4754,+41.950241,-087.683253
17,031,050600,2071,+41.950497,-087.676656
17,031,050700,1418,+41.945024,-087.675990
17,031,050800,1289,+41.944952,-087.680802
17,031,050900,1391,+41.944982,-087.685613
17,031,051000,1503,+41.941257,-087.685403
17,031,051100,1556,+41.941320,-087.680809
17,031,051200,1516,+41.941329,-087.676235
17,031,051300,2683,+41.935755,-087.676010
17,031,051400,2077,+41.936528,-087.680827
17,031,060100,2569,+41.957498,-087.666497
17,031,060200,2111,+41.957851,-087.670728
17,031,060300,2839,+41.950723,-087.671299
17,031,060400,3370,+41.950844,-087.666667
17,031,060500,1309,+41.952597,-087.662166
17,031,060800,4837,+41.953507,-087.647194
