GEOID,POPULATION
17031221300,3222
17031221400,3020
17031221500,2829
17031221600,2969
17031222200,1912
17031222500,1410
17031222600,1602
17031222700,2235
17031222800,1074
17031222900,1244
17031230100,1623
17031230200,2107
17031230300,1024
17031230400,2609
17031230500,3570
17031230600,6818
17031230700,6364
17031230800,1314
17031230900,5399
17031231100,1236
17031231200,6095
17031231500,6039
17031240200,1452
17031240300,1317
17031240500,2251
17031240600,1457
17031240700,1535
17031240800,1617
17031240900,1182
17031241000,2047
17031241100,3682
17031241200,1696
17031241300,1857
17031241400,4595
17031241500,2872
17031241600,3477
17031242000,4565
17031242100,3648
17031242200,3590
17031242300,3240
17031242400,2764
17031242500,3438
17031242600,5831
17031242700,2029
17031242800,1436
17031242900,1670
17031243000,2204
17031243100,2242
17031243200,2170
17031243300,2386
17031243400,3001
17031243500,2937
17031250200,2669
17031250300,4725
17031250400,5887
17031250500,7538
17031250600,4422
17031250700,6098
17031250800,2488
17031251000,1181
17031251100,4302
17031251200,4196
17031251300,4921
17031251400,3983
17031251500,4784
17031251600,3649
17031251700,1495
17031251800,5112
17031251900,5731
17031252000,5719
17031252101,1370
17031252102,6438
17031252201,2953
17031252202,4609
17031260100,1248
17031260200,1136
17031260300,1564
17031260400,1271
17031260500,1934
17031260600,2478
17031260700,2032
17031260800,2539
17031260900,1480
17031261000,2319
17031270500,1689
17031271200,1170
17031271300,1045
17031271400,1527
17031271500,1397
17031271800,970
17031280100,4872
17031280400,1366
17031280800,755
17031280900,942
17031281900,4844
17031282700,2349
17031282800,1691
17031283100,2703
17031283200,1664
17031283800,3688
17031290900,4530
17031291200,2240
17031291600,1055
17031292200,2961
17031292400,2268
17031292500,4140
17031300500,3257
17031300600,3212
17031300700,5194
17031300800,4610
17031300900,5050
17031301100,2617
17031301200,4012
17031301600,4654
17031301701,4381
17031301702,4045
17031301801,4005
17031301802,3518
17031301803,5357
17031310200,1336
17031310300,1697
17031310400,1332
17031310500,1700
17031310600,5868
17031310700,1692
17031310800,4516
17031310900,5123
17031320100,10848
17031320400,2518
17031320600,4256
17031330100,16735
17031330200,3806
17031340300,1786
17031340400,1900
17031340500,1544
17031340600,907
17031350100,2144
17031350400,389
17031351000,3267
17031351100,1960
17031351400,1437
17031351500,255
17031360200,1443
17031380100,1924
17031380200,1680
17031380500,752
17031380700,1243
17031381200,2167
17031381400,1612
17031381500,237
17031381700,0
17031381800,1188
17031381900,1295
17031390100,1268
17031390200,1840
17031390300,2743
17031390400,2934
17031390500,1598
17031390600,1866
17031390700,5592
17031400300,1567
17031400400,1955
17031400500,2258
17031400800,2701
17031410100,1802
17031410200,1443
17031410500,2557
17031410600,2327
17031410700,2154
17031410800,2662
17031410900,2838
17031411000,3309
17031411100,2132
17031411200,1640
17031420100,1441
17031420200,1723
17031420300,2488
17031420400,1329
17031420500,2624
17031420600,2219
17031420700,3261
17031420800,2213
17031421200,1380
17031430101,3689
17031430102,2963
17031430200,4680
17031430300,2336
17031430400,2892
17031430500,3604
17031430600,1665
17031430700,2210
17031430800,1763
17031430900,1814
17031431200,3078
17031431301,3545
17031431302,4166
17031431400,6418
17031440101,3746
17031440102,3127
17031440201,5060
17031440202,2999
17031440300,4757
17031440600,2080
17031440700,1545
17031440800,1800
17031440900,2610
17031450300,3615
17031460100,3405
17031460200,2385
17031460301,3404
17031460302,3803
17031460400,3705
17031460500,5789
17031460600,1183
17031460700,3314
17031461000,1496
17031470100,2916
17031480100,2033
17031480200,1229
17031480300,1468
17031480400,5876
17031480500,3206
17031490300,2033
17031490400,1059
17031490500,2242
17031490600,1562
17031490700,3085
17031490800,4007
17031490901,3891
17031490902,5086
17031491000,5247
17031491100,4514
17031491200,2444
17031491300,2886
17031491400,2931
17031500100,3644
17031500200,2015
17031500300,1666
17031510100,3530
17031510200,2986
17031510300,5360
17031520100,2075
17031520200,3817
17031520300,6215
17031520400,4090
17031520500,4301
17031520600,2544
17031530100,2371
17031530200,5152
17031530300,4273
17031530400,2223
17031530501,5402
17031530502,1667
17031530503,5345
17031530600,3207
17031540101,3373
17031540102,3109
17031550100,6628
17031550200,2798
17031560100,1473
17031560200,1721
17031560300,3187
17031560400,1516
17031560700,3484
17031560800,5411
17031560900,5093
17031561000,5161
17031561100,5407
17031570100,1257
17031570200,1943
17031570300,6116
17031570400,1615
17031570500,2462
17031580100,2989
17031580200,3515
17031580300,2426
17031580400,4795
17031580501,5067
17031580502,5349
17031580600,5531
17031580700,6137
17031580800,2061
17031590500,1672
17031590600,3564
17031590700,3100
17031600400,3891
17031600600,2738
17031600700,2545
17031600900,3699
17031610300,5658
17031610400,2213
17031610800,1393
17031611000,1098
17031611100,2922
17031611200,2824
17031611300,3556
17031611400,4105
17031611500,3567
17031611600,1609
17031611700,1990
17031611800,2139
17031611900,2045
17031612000,1545
17031612100,1470
17031620100,4289
17031620200,2223
17031620300,6399
17031620400,5198
17031630100,1156
17031630200,1931
17031630300,5521
17031630400,7083
17031630500,6364
17031630800,7107
17031630900,5363
17031640100,1211
17031640300,6463
17031640400,3190
17031640500,3491
17031640600,3912
17031640700,3156
17031640800,1716
17031650100,4816
17031650200,7320
17031650301,5711
17031650302,4344
17031650400,6743
17031650500,4421
17031660301,1785
17031660302,5527
17031660400,5960
17031660500,5534
17031660600,6333
17031660700,2366
17031660800,5865
17031660900,4232
17031661000,5706
17031661100,6542
17031670100,1516
17031670200,1380
17031670300,1411
17031670400,1956
17031670500,1321
17031670600,1650
17031670700,1491
17031670800,1635
17031670900,1351
17031671100,1259
17031671200,1252
17031671300,2688
17031671400,2072
17031671500,3221
17031671600,2495
17031671800,1422
17031671900,1378
17031672000,3735
17031680500,1481
17031680600,1431
17031680900,4019
17031681000,3498
17031681100,3517
17031681200,2716
17031681300,2936
17031681400,3247
17031690300,2191
17031690400,3464
17031690500,877
17031690900,4520
17031691000,2492
17031691100,3266
17031691200,2847
17031691300,2448
17031691400,3611
17031691500,1930
17031700100,3427
17031700200,6609
17031700301,5728
17031700302,5319
17031700401,5923
17031700402,3914
17031700501,7125
17031700502,3036
17031710100,1275
17031710200,5049
17031710300,1414
17031710400,5651
17031710500,4123
17031710600,1838
17031710700,3583
17031710800,5338
17031710900,2198
17031711000,3475
17031711100,2835
17031711200,5145
17031711300,1626
17031711400,2654
17031711500,2539
17031720100,3300
17031720200,4016
17031720300,3723
17031720400,1924
17031720500,2166
17031720600,1756
17031720700,3149
17031730100,2424
17031730201,5941
17031730202,3115
17031730300,1166
17031730400,3514
17031730500,4388
17031730600,3614
17031730700,2331
17031740100,3048
17031740200,6547
17031740300,4713
17031740400,4785
17031750100,4147
17031750200,3227
17031750300,2530
17031750400,3009
17031750500,5936
17031750600,3681
17031760801,4047
17031760802,2276
17031760803,6236
17031770201,5894
17031770202,4912
17031770300,7313
17031770400,4505
17031770500,4078
17031770601,3232
17031770602,4956
17031770700,2681
17031770800,5582
17031770901,4934
17031770902,3521
17031800100,2419
17031800200,6312
17031800300,3501
17031800400,3762
17031800500,4901
17031800600,2400
17031800700,5135
17031800800,2206
17031800900,4416
17031801000,4908
17031801100,4715
17031801200,3547
17031801300,4283
17031801400,2919
17031801500,5928
17031801601,4234
17031801603,3855
17031801605,5599
17031801606,6066
17031801607,5287
17031801608,6564
17031801701,3728
17031801702,4671
17031801800,5619
17031801901,4369
17031801902,3223
17031802002,5071
17031802003,2684
17031802004,5381
17031802100,3573
17031802200,4410
17031802300,4840
17031802402,4821
17031802403,1399
17031802404,7226
17031802503,6200
17031802504,6601
17031802505,6844
17031802506,2508
17031802605,6799
17031802607,1444
17031802608,6256
17031802609,6699
17031802610,1729
17031802701,6952
17031802702,4498
17031802801,4793
17031802802,6594
17031802900,6080
17031803005,2655
17031803007,5247
17031803008,4712
17031803010,5196
17031803012,2221
17031803013,5449
17031803014,3430
17031803015,4459
17031803016,1979
17031803017,6058
17031803100,3440
17031803200,5586
17031803300,5543
17031803400,6384
17031803500,5813
17031803603,6751
17031803604,4314
17031803605,7253
17031803606,8287
17031803607,5164
17031803608,7326
17031803610,7198
17031803611,6112
17031803612,3536
17031803701,2705
17031803702,6255
17031803800,4725
17031803901,3452
17031803902,3513
17031804000,4587
17031804102,6993
17031804104,4980
17031804105,4000
17031804106,7024
17031804108,3879
17031804109,2955
17031804201,8173
17031804202,7463
17031804305,7216
17031804306,5564
17031804308,5486
17031804309,3230
17031804310,9088
17031804311,8148
17031804403,6760
17031804404,5233
17031804405,3701
17031804406,6247
17031804505,3831
17031804506,5461
17031804507,12480
17031804508,2244
17031804509,6288
17031804510,6145
17031804511,2414
17031804603,5581
17031804606,7118
17031804607,7049
17031804608,3787
17031804609,5672
17031804610,2320
17031804611,4359
17031804701,6837
17031804705,3976
17031804706,2472
17031804709,6510
17031804710,4350
17031804711,7442
17031804712,5392
17031804713,4694
17031804714,3480
17031804715,3292
17031804716,5490
17031804803,5392
17031804804,6537
17031804805,6911
17031804806,3751
17031804807,5172
17031804808,2533
17031804809,4224
17031804810,6949
17031804901,6648
17031804902,5523
17031805001,4694
17031805002,6941
17031805105,7356
17031805106,2718
17031805107,6460
17031805108,6699
17031805109,4359
17031805110,4220
17031805111,7027
17031805112,3558
17031805201,3406
17031805202,4028
17031805301,3496
17031805302,3602
17031805401,3841
17031805402,5095
