RESIDENCE,WORKPLACE,JOBS
17001010500,17167002000,2
17001010600,17001000100,138
17001010600,17001000201,18
17001010600,17001000202,8
17001010600,17001000400,19
17001010600,17001000500,164
17001010600,17001000600,124
17001010600,17001000700,120
17001010600,17001000800,16
17001010600,17001000900,6
17001010600,17001001002,45
17001010600,17001001100,121
17001010600,17001010200,2
17001010600,17001010400,37
17001010600,17001010500,7
17001010600,17001010600,62
17001010600,17009970500,17
17001010600,17019000402,4
17001010600,17095000500,2
17001010600,17115001000,5
17001010600,17143001600,2
17001010600,17167000300,2
17001010600,17167002000,2
17003957600,17003957600,6
17003957600,17003957700,4
17003957600,17003957800,2
17003957600,17003957900,2
17003957600,17055040600,2
17003957600,17167001400,2
17003957600,17167002000,4
17003957600,17181950200,2
17003957600,17199021000,3
17003957700,17003957700,13
17003957700,17003957900,2
17003957700,17167001900,2
17003957700,17181950300,2
17003957700,17181950400,5
17003957800,17003957800,15
17003957800,17003957900,8
17003957800,17153971000,2
17003957800,17181950400,2
17003957900,17003957800,10
17003957900,17003957900,2
17003957900,17077011700,2
17003957900,17081050700,2
17003957900,17143003200,2
17003957900,17151971300,2
17003957900,17153971000,2
17003957900,17181950300,3
17005951200,17005951200,6
17005951200,17005951300,81
17005951200,17029000400,2
17005951200,17051950800,2
17005951200,17117957200,2
17005951200,17135957600,2
17005951200,17167002000,2
17005951300,17005951200,5
17005951300,17005951300,331
17005951300,17005951400,2
17005951300,17027900300,2
17005951300,17027900402,2
17005951300,17029000300,2
17005951300,17029001200,2
17005951300,17031243300,2
17005951300,17049950600,2
17005951300,17051950800,8
17005951300,17117956400,2
17005951300,17119400801,2
17005951300,17119403101,2
17005951300,17119403601,5
17005951300,17119403802,2
17005951300,17135957900,2
17005951300,17167000300,2
17005951300,17167001200,2
17005951300,17167001400,2
17005951300,17167002000,6
17005951300,17167002900,2
17005951400,17005951300,31
17005951400,17005951400,2
17005951400,17029000300,2
17005951400,17051950900,2
17005951400,17119403802,2
17005951500,17005951300,51
17005951500,17005951500,6
17005951500,17051950800,2
17005951500,17051951000,2
17005951500,17119403601,18
17005951500,17119403604,4
17005951500,17167001300,2
17005951500,17167002000,2
17007010100,17007010100,30
17007010100,17007010200,105
17007010100,17007010300,57
17007010100,17007010400,35
17007010100,17007010500,6
17007010100,17031803800,2
17007010100,17031804201,2
17007010100,17031805111,2
17007010100,17031820902,2
17007010100,17031980000,2
17007010100,17037000100,2
17007010100,17037001002,2
17007010100,17089850702,2
17007010100,17089851910,2
17007010100,17097864802,2
17007010100,17111870902,2
17007010100,17111870904,2
17007010100,17111871003,2
17007010100,17111871500,2
17007010100,17141961100,2
17007010100,17201000105,6
17007010100,17201000507,4
17007010100,17201000510,2
17007010100,17201000511,2
17007010100,17201000512,4
17007010100,17201000513,6
17007010100,17201000600,3
17007010100,17201001000,10
17007010100,17201001300,2
17007010100,17201001500,2
17007010100,17201002000,2
17007010100,17201002200,2
17007010100,17201002900,2
17007010100,17201003708,4
17007010100,17201003709,2
17007010100,17201003711,8
17007010100,17201003801,2
17007010100,17201003805,2
17007010100,17201003809,2
17007010100,17201003904,2
17007010100,17201004002,2
17007010200,17007010100,14
17007010200,17007010200,81
17007010200,17007010300,30
17007010200,17007010400,14
17007010200,17007010500,2
17007010200,17043846106,2
17007010200,17111871500,18
17007010200,17143001600,2
17007010200,17201000507,6
17007010200,17201000511,2
17007010200,17201000514,2
17007010200,17201000600,4
17007010200,17201001500,2
17007010200,17201002200,4
17007010200,17201002500,2
17007010200,17201003709,2
17007010200,17201003711,2
17007010200,17201003807,2
17007010200,17201004001,2
17007010300,17007010100,19
17007010300,17007010200,127
17007010300,17007010300,49
17007010300,17007010400,15
17007010300,17007010500,7
17007010300,17031980000,2
17007010300,17037000200,2
17007010300,17089850500,2
17007010300,17111870803,3
17007010300,17111870902,4
17007010300,17111871500,18
17007010300,17201000105,2
17007010300,17201000511,2
17007010300,17201000512,4
17007010300,17201000514,6
17007010300,17201000600,2
17007010300,17201001000,2
17007010300,17201001100,2
17007010300,17201001300,2
17007010300,17201002500,2
17007010300,17201002600,4
17007010300,17201003300,2
17007010300,17201003606,2
17007010300,17201003708,3
17007010300,17201003709,2
17007010300,17201003711,6
17007010300,17201004001,2
17007010300,17201004002,2
17007010300,17201980000,2
17007010400,17007010100,24
17007010400,17007010200,91
17007010400,17007010300,64
17007010400,17007010400,22
17007010400,17007010500,7
17007010400,17031803800,2
17007010400,17037000100,2
17007010400,17037000200,2
17007010400,17043844301,2
17007010400,17095000800,2
17007010400,17097860904,2
17007010400,17111871003,2
17007010400,17111871004,2
17007010400,17111871500,5
17007010400,17141961600,4
17007010400,17197880121,2
17007010400,17201000105,3
17007010400,17201000507,6
17007010400,17201000510,4
17007010400,17201000514,6
17007010400,17201001000,14
17007010400,17201001300,13
17007010400,17201001500,4
17007010400,17201002200,2
17007010400,17201003708,2
17007010400,17201003709,6
17007010400,17201003805,2
17007010400,17201003807,2
17007010400,17201980000,2
17007010500,17007010100,8
17007010500,17007010200,120
17007010500,17007010300,157
17007010500,17007010400,10
17007010500,17031804603,2
17007010500,17031980000,2
17007010500,17093890500,2
17007010500,17111871003,4
17007010500,17111871004,2
17007010500,17167001300,2
17007010500,17177001100,2
17007010500,17201000104,2
17007010500,17201000300,10
17007010500,17201000501,2
17007010500,17201000507,38
17007010500,17201000511,3
17007010500,17201000512,2
17007010500,17201000513,8
17007010500,17201000514,2
17007010500,17201000600,4
17007010500,17201000700,2
17007010500,17201001000,49
17007010500,17201001100,2
17007010500,17201001300,72
17007010500,17201001500,4
17007010500,17201001800,4
17007010500,17201002900,7
17007010500,17201003300,19
17007010500,17201003400,2
17007010500,17201003705,2
17007010500,17201003708,2
17007010500,17201003709,54
17007010500,17201003711,4
17007010500,17201003807,4
17007010500,17201980000,5
17007010601,17007010100,11
17007010601,17007010200,8
17007010601,17007010400,6
17007010601,17007010601,25
17007010601,17097861604,2
17007010601,17111870200,6
17007010601,17111870302,2
17007010601,17111870902,2
17007010601,17111871500,2
17007010601,17141961600,2
17007010601,17201000510,2
17007010601,17201001300,2
17007010601,17201003300,2
17007010601,17201003904,2
17007010601,17201004002,2
17007010602,17007010100,29
17007010602,17007010200,115
17007010602,17007010300,68
17007010602,17007010400,10
17007010602,17007010500,6
17007010602,17007010601,19
17007010602,17007010602,22
17007010602,17031805111,2
17007010602,17031820202,2
17007010602,17111870200,2
17007010602,17111870302,2
17007010602,17111870902,4
17007010602,17111871003,8
17007010602,17111871004,4
17007010602,17111871500,10
17007010602,17201000105,12
17007010602,17201000300,12
17007010602,17201000506,2
17007010602,17201000507,22
17007010602,17201000511,4
17007010602,17201000512,13
17007010602,17201000514,2
17007010602,17201000600,2
17007010602,17201000700,2
17007010602,17201000800,2
17007010602,17201001000,46
17007010602,17201001100,12
